Day,Susceptible,Infectious,Hospitalized,ICU,Ward,Recovered,Death
159.90,1461.5024309752523,0.04351090294575301,1.5999908807451328E-4,0.3575447709502675,0.22020618055253893,9400.515939817973,137.3602073531797
160.00,1461.5022506072285,0.04308382846554579,1.584286211680755E-4,0.3558448391877108,0.219094564404837,9400.519357921268,137.3602098107657
160.10,1461.5020720096009,0.04266094584428057,1.5687356925298237E-4,0.3541529762057399,0.21798881133103765,9400.52275613916,137.36021224422933
160.20,1461.5018951649922,0.04224221393812411,1.5533378102043708E-4,0.3524691438380954,0.21688888830891606,9400.526134601276,137.36021465380736
160.30,1461.5017200561956,0.04182759200706794,1.5380910664688677E-4,0.35079330409774445,0.21579476251869473,9400.529493436281,137.36021703973424
160.40,1461.5015466661732,0.04141703971096508,1.5229939777944263E-4,0.3491254191760517,0.21470640134168437,9400.5328327719,137.3602194022421
160.50,1461.5013749780542,0.04101051710560556,1.50804507521443E-4,0.34746545144195434,0.21362377235893534,9400.536152734912,137.36022174156085
160.60,1461.5012049751335,0.040607984638830474,1.4932429041815827E-4,0.34581336344114066,0.2125468433498981,9400.539453451169,137.3602240579181
160.70,1461.50103664087,0.04020940314668423,1.4785860244263618E-4,0.3441691178952326,0.21147558229109414,9400.542735045596,137.36022635153918
160.80,1461.5008699588852,0.03981473384960446,1.46407300981686E-4,0.34253267770097134,0.21040995735479603,9400.5459976422,137.36022862264733
160.90,1461.500704912961,0.0394239383486494,1.4497024482200036E-4,0.34090400592940745,0.20934993690771714,9400.549241364084,137.36023087146347
161.00,1461.5005414870386,0.03903697862176224,1.4354729413641328E-4,0.33928306582509365,0.2082954895097108,9400.552466333444,137.36023309820644
161.10,1461.5003796652168,0.03865381702007221,1.421383104702932E-4,0.3376698208052819,0.2072465839124792,9400.555672671582,137.36023530309288
161.20,1461.5002194317506,0.03827441626423184,1.4074315672806952E-4,0.3360642344591239,0.20620318905829124,9400.558860498913,137.36023748633733
161.30,1461.5000607710492,0.03789873944079035,1.393616971598914E-4,0.3344662705468751,0.20516527407870977,9400.562029934974,137.3602396481522
161.40,1461.4999036676754,0.03752674999860239,1.379937973484177E-4,0.33287589299910214,0.20413280829332803,9400.565181098427,137.36024178874786
161.50,1461.499748106343,0.037158411745272284,1.3663932419573631E-4,0.3312930659158943,0.2031057612085154,9400.56831410707,137.3602439083326
161.60,1461.4995940719164,0.03679368884363293,1.3529814591041223E-4,0.329717753566078,0.20208410251617176,9400.571429077838,137.3602460071126
161.70,1461.499441549408,0.036432545808259456,1.339701319946626E-4,0.32814992038643515,0.20106780209249156,9400.574526126818,137.36024808529214
161.80,1461.4992905239774,0.036074947502016966,1.326551532316576E-4,0.3265895309809247,0.20005682999673596,9400.577605369253,137.36025014307336
161.90,1461.4991409809304,0.035720859132642176,1.3135308167294633E-4,0.3250365501199082,0.1990511564700144,9400.580666919546,137.36025218065652
162.00,1461.4989929057165,0.03537024624935867,1.3006379062600567E-4,0.3234909427393781,0.19805075193407493,9400.583710891267,137.36025419823986
162.10,1461.498846283928,0.0350230747395253,1.2878715464191174E-4,0.32195267394019045,0.19705558699010295,9400.586737397165,137.3602561960197
162.20,1461.498701101299,0.034679310825317514,1.2752304950313235E-4,0.32042170898729994,0.19606563241752892,9400.589746549169,137.3602581741904
162.30,1461.4985573437034,0.03433892106044124,1.2627135221143906E-4,0.31889801330899936,0.19508085917284435,9400.592738458396,137.36026013294443
162.40,1461.4984149971535,0.03400187232687901,1.2503194097593818E-4,0.31738155249616207,0.19410123838842666,9400.59571323516,137.3602620724724
162.50,1461.4982740477994,0.03366813183166807,1.2380469520121914E-4,0.3158722923014877,0.19312674137137237,9400.598670988975,137.360263992963
162.60,1461.498134481927,0.033337667103710035,1.2258949547561923E-4,0.31437019863875165,0.19215733960233827,9400.601611828566,137.36026589460315
162.70,1461.4979962859568,0.0330104459906119,1.213862235596036E-4,0.31287523758205754,0.1911930047343917,9400.604535861872,137.3602677775778
162.80,1461.4978594464421,0.032686436655558024,1.201947623742592E-4,0.3113873753650935,0.19023370859186853,9400.60744319605,137.3602696420702
162.90,1461.497723950069,0.03236560757421289,1.1901499598990186E-4,0.3099065783803913,0.1892794231692393,9400.610333937486,137.36027148826173
163.00,1461.4975897836537,0.032047927531654134,1.1784680961479507E-4,0.3084328131785894,0.18833012062998405,9400.6132081918,137.36027331633207
163.10,1461.497456934142,0.03173336561933578,1.1669008958397957E-4,0.3069660464676986,0.1873857733054746,9400.616066063852,137.36027512645907
163.20,1461.497325388608,0.03142189123208124,1.155447233482126E-4,0.3055062451123717,0.18644635369386509,9400.618907657747,137.36027691881884
163.30,1461.4971951342525,0.031113474065105794,1.1441059946301578E-4,0.30405337613317596,0.18551183445899078,9400.62173307684,137.3602786935858
163.40,1461.4970661584018,0.030808084111068373,1.1328760757783037E-4,0.3026074067058692,0.1845821884292742,9400.624542423746,137.3602804509326
163.50,1461.4969384485069,0.030505691657152178,1.1217563842527916E-4,0.30116830416067897,0.18365738859663958,9400.627335800344,137.36028219103025
163.60,1461.4968119921416,0.030206267282174015,1.1107458381053365E-4,0.2997360359815848,0.1827374081154346,9400.630113307781,137.36028391404807
163.70,1461.496686777002,0.029909781853721996,1.0998433660078568E-4,0.2983105698056043,0.18182222030136055,9400.632875046482,137.3602856201537
163.80,1461.4965627909048,0.02961620652532129,1.0890479071482241E-4,0.2968918734220815,0.1809117986304094,9400.63562111615,137.3602873095131
163.90,1461.4964400217864,0.02932551273362774,1.0783584111270362E-4,0.29547991477197955,0.18000611673780906,9400.638351615775,137.36028898229068
164.00,1461.4963184577016,0.029037672195648987,1.0677738378554036E-4,0.29407466194717574,0.17910514841697556,9400.641066643642,137.3602906386492
164.10,1461.4961980868225,0.028752656905992876,1.0572931574537398E-4,0.29267608318976013,0.17820886761847357,9400.643766297335,137.3602922787498
